ip,eventtimestamp,devicetype,event_type,product_type,userid,globalseq,prevglobalseq
66.249.1.141,1661891655731,computer,home_page,N/A,17640443,3057156,3056734
66.249.1.238,1661891655770,tablet,home_page,N/A,17642389,3057195,3057155
66.249.1.17,1661891655844,computer,home_page,N/A,17643779,3057209,3056973
66.249.1.141,1661891655731,computer,product_catalog,N/A,17640443,3057157,3057156
66.249.1.141,1661891655732,computer,home_page,N/A,17640443,3057158,3057157
66.249.1.141,1661891655732,computer,product_catalog,N/A,17640443,3057159,3057158
66.249.1.141,1661891655732,computer,home_page,N/A,17640443,3057160,3057159
66.249.1.141,1661891655732,computer,product_catalog,N/A,17640443,3057161,3057160
66.249.1.141,1661891655732,computer,product_detail,cell phones,17640443,3057162,3057161
66.249.1.141,1661891655732,computer,add_to_cart,cell phones,17640443,3057163,3057162
66.249.1.141,1661891655732,computer,order,cell phones,17640443,3057164,3057163
66.249.1.141,1661891655732,computer,remove_from_cart,cell phones,17640443,3057165,3057164
66.249.1.141,1661891655732,computer,,,17640443,3057166,3057165
66.249.1.205,1661891655747,tablet,home_page,N/A,17641666,3057167,3056840
66.249.1.205,1661891655747,tablet,product_catalog,N/A,17641666,3057168,3057167
66.249.1.205,1661891655747,tablet,home_page,N/A,17641666,3057169,3057168
66.249.1.205,1661891655747,tablet,product_catalog,N/A,17641666,3057170,3057169
66.249.1.205,1661891655747,tablet,home_page,N/A,17641666,3057171,3057170
66.249.1.205,1661891655747,tablet,product_catalog,N/A,17641666,3057172,3057171
66.249.1.205,1661891655747,tablet,product_detail,cell phones,17641666,3057173,3057172
66.249.1.205,1661891655747,tablet,add_to_cart,cell phones,17641666,3057174,3057173
66.249.1.205,1661891655747,tablet,product_catalog,N/A,17641666,3057175,3057174
66.249.1.205,1661891655747,tablet,product_detail,cell phones,17641666,3057176,3057175
66.249.1.205,1661891655747,tablet,product_catalog,N/A,17641666,3057177,3057176
66.249.1.205,1661891655747,tablet,product_detail,AirPods,17641666,3057178,3057177
66.249.1.205,1661891655747,tablet,product_catalog,N/A,17641666,3057179,3057178
66.249.1.205,1661891655747,tablet,product_detail,cameras,17641666,3057180,3057179
66.249.1.205,1661891655747,tablet,product_catalog,N/A,17641666,3057181,3057180
66.249.1.205,1661891655747,tablet,home_page,N/A,17641666,3057182,3057181
66.249.1.205,1661891655747,tablet,product_catalog,N/A,17641666,3057183,3057182
66.249.1.205,1661891655748,tablet,home_page,N/A,17641666,3057184,3057183
66.249.1.205,1661891655748,tablet,product_catalog,N/A,17641666,3057185,3057184
66.249.1.205,1661891655748,tablet,product_detail,ear phones,17641666,3057186,3057185
66.249.1.205,1661891655748,tablet,product_catalog,N/A,17641666,3057187,3057186
66.249.1.205,1661891655748,tablet,product_detail,cd players,17641666,3057188,3057187
66.249.1.205,1661891655748,tablet,product_catalog,N/A,17641666,3057189,3057188
66.249.1.205,1661891655748,tablet,product_detail,laptops,17641666,3057190,3057189
66.249.1.205,1661891655748,tablet,add_to_cart,laptops,17641666,3057191,3057190
66.249.1.205,1661891655748,tablet,order,laptops,17641666,3057192,3057191
66.249.1.205,1661891655748,tablet,order_checkout,laptops,17641666,3057193,3057192
66.249.1.205,1661891655748,tablet,,,17641666,3057194,3057193
66.249.1.238,1661891655780,tablet,product_catalog,N/A,17642389,3057196,3057195
66.249.1.238,1661891655780,tablet,home_page,N/A,17642389,3057197,3057196
66.249.1.238,1661891655780,tablet,product_catalog,N/A,17642389,3057198,3057197
66.249.1.238,1661891655780,tablet,home_page,N/A,17642389,3057199,3057198
66.249.1.238,1661891655780,tablet,product_catalog,N/A,17642389,3057200,3057199
66.249.1.238,1661891655780,tablet,product_detail,AirPods,17642389,3057201,3057200
66.249.1.238,1661891655780,tablet,add_to_cart,AirPods,17642389,3057202,3057201
66.249.1.238,1661891655780,tablet,product_catalog,N/A,17642389,3057203,3057202
66.249.1.238,1661891655780,tablet,product_detail,ear phones,17642389,3057204,3057203
66.249.1.238,1661891655781,tablet,add_to_cart,ear phones,17642389,3057205,3057204
66.249.1.238,1661891655781,tablet,order,ear phones,17642389,3057206,3057205
66.249.1.238,1661891655781,tablet,order_checkout,ear phones,17642389,3057207,3057206
66.249.1.238,1661891655781,tablet,,,17642389,3057208,3057207
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057210,3057209
66.249.1.17,1661891655844,computer,home_page,N/A,17643779,3057211,3057210
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057212,3057211
66.249.1.17,1661891655844,computer,home_page,N/A,17643779,3057213,3057212
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057214,3057213
66.249.1.17,1661891655844,computer,home_page,N/A,17643779,3057215,3057214
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057216,3057215
66.249.1.17,1661891655844,computer,home_page,N/A,17643779,3057217,3057216
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057218,3057217
66.249.1.17,1661891655844,computer,home_page,N/A,17643779,3057219,3057218
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057220,3057219
66.249.1.17,1661891655844,computer,home_page,N/A,17643779,3057221,3057220
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057222,3057221
66.249.1.17,1661891655844,computer,product_detail,video games,17643779,3057223,3057222
66.249.1.17,1661891655844,computer,add_to_cart,video games,17643779,3057224,3057223
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057225,3057224
66.249.1.17,1661891655844,computer,home_page,N/A,17643779,3057226,3057225
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057227,3057226
66.249.1.17,1661891655844,computer,home_page,N/A,17643779,3057228,3057227
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057229,3057228
66.249.1.17,1661891655844,computer,product_detail,cell phones,17643779,3057230,3057229
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057231,3057230
66.249.1.17,1661891655844,computer,home_page,N/A,17643779,3057232,3057231
66.249.1.17,1661891655844,computer,product_catalog,N/A,17643779,3057233,3057232
66.249.1.17,1661891655844,computer,product_detail,ear phones,17643779,3057234,3057233
66.249.1.17,1661891655844,computer,add_to_cart,ear phones,17643779,3057235,3057234
66.249.1.17,1661891655845,computer,remove_from_cart,ear phones,17643779,3057236,3057235
66.249.1.17,1661891655845,computer,,,17643779,3057237,3057236
66.249.1.100,1661891655987,computer,home_page,N/A,17646336,3057272,3056812
66.249.1.100,1661891655987,computer,product_catalog,N/A,17646336,3057273,3057272
66.249.1.100,1661891655987,computer,product_detail,ear phones,17646336,3057274,3057273
66.249.1.100,1661891655987,computer,add_to_cart,ear phones,17646336,3057275,3057274
66.249.1.100,1661891655987,computer,remove_from_cart,ear phones,17646336,3057276,3057275
66.249.1.100,1661891655987,computer,product_detail,soundbars,17646336,3057277,3057276
66.249.1.100,1661891655987,computer,add_to_cart,soundbars,17646336,3057278,3057277
66.249.1.100,1661891655987,computer,order,soundbars,17646336,3057279,3057278
66.249.1.100,1661891655987,computer,product_catalog,N/A,17646336,3057280,3057279
66.249.1.100,1661891655987,computer,product_detail,video games,17646336,3057281,3057280
66.249.1.100,1661891655987,computer,add_to_cart,video games,17646336,3057282,3057281
66.249.1.100,1661891655987,computer,order,video games,17646336,3057283,3057282
66.249.1.100,1661891655987,computer,remove_from_cart,video games,17646336,3057284,3057283
66.249.1.100,1661891655987,computer,product_detail,cd players,17646336,3057285,3057284
66.249.1.100,1661891655987,computer,product_catalog,N/A,17646336,3057286,3057285
66.249.1.100,1661891655987,computer,product_detail,cameras,17646336,3057287,3057286
66.249.1.100,1661891655987,computer,add_to_cart,cameras,17646336,3057288,3057287
66.249.1.100,1661891655987,computer,product_catalog,N/A,17646336,3057289,3057288
66.249.1.100,1661891655987,computer,product_detail,AirPods,17646336,3057290,3057289
66.249.1.100,1661891655987,computer,product_catalog,N/A,17646336,3057291,3057290
66.249.1.100,1661891655987,computer,product_detail,cameras,17646336,3057292,3057291
66.249.1.100,1661891655987,computer,product_catalog,N/A,17646336,3057293,3057292
66.249.1.100,1661891655987,computer,product_detail,AirPods,17646336,3057294,3057293
66.249.1.100,1661891655987,computer,add_to_cart,AirPods,17646336,3057295,3057294
66.249.1.100,1661891655987,computer,remove_from_cart,AirPods,17646336,3057296,3057295
66.249.1.100,1661891655987,computer,product_catalog,N/A,17646336,3057297,3057296
66.249.1.100,1661891655987,computer,home_page,N/A,17646336,3057298,3057297
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057299,3057298
66.249.1.100,1661891655988,computer,product_detail,cameras,17646336,3057300,3057299
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057301,3057300
66.249.1.100,1661891655988,computer,product_detail,cd players,17646336,3057302,3057301
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057303,3057302
66.249.1.100,1661891655988,computer,product_detail,cd players,17646336,3057304,3057303
66.249.1.100,1661891655988,computer,add_to_cart,cd players,17646336,3057305,3057304
66.249.1.100,1661891655988,computer,order,cd players,17646336,3057306,3057305
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057307,3057306
66.249.1.100,1661891655988,computer,product_detail,cd players,17646336,3057308,3057307
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057309,3057308
66.249.1.100,1661891655988,computer,product_detail,soundbars,17646336,3057310,3057309
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057311,3057310
66.249.1.100,1661891655988,computer,home_page,N/A,17646336,3057312,3057311
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057313,3057312
66.249.1.100,1661891655988,computer,home_page,N/A,17646336,3057314,3057313
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057315,3057314
66.249.1.100,1661891655988,computer,home_page,N/A,17646336,3057316,3057315
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057317,3057316
66.249.1.100,1661891655988,computer,product_detail,laptops,17646336,3057318,3057317
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057319,3057318
66.249.1.100,1661891655988,computer,home_page,N/A,17646336,3057320,3057319
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057321,3057320
66.249.1.100,1661891655988,computer,home_page,N/A,17646336,3057322,3057321
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057323,3057322
66.249.1.100,1661891655988,computer,product_detail,cell phones,17646336,3057324,3057323
66.249.1.100,1661891655988,computer,product_catalog,N/A,17646336,3057325,3057324
66.249.1.100,1661891655988,computer,product_detail,ear phones,17646336,3057326,3057325
66.249.1.100,1661891655988,computer,add_to_cart,ear phones,17646336,3057327,3057326
66.249.1.100,1661891655988,computer,remove_from_cart,ear phones,17646336,3057328,3057327
66.249.1.100,1661891655988,computer,,,17646336,3057329,3057328
66.249.1.58,1661891655859,mobile,home_page,N/A,17644565,3057238,3056937
66.249.1.58,1661891655859,mobile,product_catalog,N/A,17644565,3057239,3057238
66.249.1.58,1661891655859,mobile,product_detail,video games,17644565,3057240,3057239
66.249.1.58,1661891655859,mobile,add_to_cart,video games,17644565,3057241,3057240
66.249.1.58,1661891655859,mobile,remove_from_cart,video games,17644565,3057242,3057241
66.249.1.58,1661891655859,mobile,product_detail,AirPods,17644565,3057243,3057242
66.249.1.58,1661891655859,mobile,product_catalog,N/A,17644565,3057244,3057243
66.249.1.58,1661891655859,mobile,home_page,N/A,17644565,3057245,3057244
66.249.1.58,1661891655859,mobile,product_catalog,N/A,17644565,3057246,3057245
66.249.1.58,1661891655859,mobile,home_page,N/A,17644565,3057247,3057246
66.249.1.58,1661891655859,mobile,product_catalog,N/A,17644565,3057248,3057247
66.249.1.58,1661891655859,mobile,product_detail,soundbars,17644565,3057249,3057248
66.249.1.58,1661891655859,mobile,add_to_cart,soundbars,17644565,3057250,3057249
66.249.1.58,1661891655859,mobile,product_catalog,N/A,17644565,3057251,3057250
66.249.1.58,1661891655859,mobile,home_page,N/A,17644565,3057252,3057251
66.249.1.58,1661891655859,mobile,product_catalog,N/A,17644565,3057253,3057252
66.249.1.58,1661891655859,mobile,product_detail,ear phones,17644565,3057254,3057253
66.249.1.58,1661891655860,mobile,add_to_cart,ear phones,17644565,3057255,3057254
66.249.1.58,1661891655860,mobile,product_catalog,N/A,17644565,3057256,3057255
66.249.1.58,1661891655860,mobile,product_detail,laptops,17644565,3057257,3057256
66.249.1.58,1661891655860,mobile,add_to_cart,laptops,17644565,3057258,3057257
66.249.1.58,1661891655860,mobile,order,laptops,17644565,3057259,3057258
66.249.1.58,1661891655860,mobile,order_checkout,laptops,17644565,3057260,3057259
66.249.1.58,1661891655860,mobile,,,17644565,3057261,3057260
66.249.1.223,1661891655871,mobile,home_page,N/A,17645722,3057262,3057194
66.249.1.223,1661891655871,mobile,product_catalog,N/A,17645722,3057263,3057262
66.249.1.223,1661891655871,mobile,home_page,N/A,17645722,3057264,3057263
66.249.1.223,1661891655871,mobile,product_catalog,N/A,17645722,3057265,3057264
66.249.1.223,1661891655871,mobile,home_page,N/A,17645722,3057266,3057265
66.249.1.223,1661891655871,mobile,product_catalog,N/A,17645722,3057267,3057266
66.249.1.223,1661891655871,mobile,product_detail,laptops,17645722,3057268,3057267
66.249.1.223,1661891655871,mobile,add_to_cart,laptops,17645722,3057269,3057268
66.249.1.223,1661891655871,mobile,remove_from_cart,laptops,17645722,3057270,3057269
66.249.1.223,1661891655871,mobile,,,17645722,3057271,3057270
66.249.1.139,1661891656032,tablet,home_page,N/A,17647152,3057330,3056958
66.249.1.139,1661891656032,tablet,product_catalog,N/A,17647152,3057331,3057330
66.249.1.139,1661891656032,tablet,product_detail,video games,17647152,3057332,3057331
66.249.1.139,1661891656032,tablet,add_to_cart,video games,17647152,3057333,3057332
66.249.1.139,1661891656032,tablet,order,video games,17647152,3057334,3057333
66.249.1.139,1661891656032,tablet,product_catalog,N/A,17647152,3057335,3057334
66.249.1.139,1661891656032,tablet,home_page,N/A,17647152,3057336,3057335
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057337,3057336
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057338,3057337
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057339,3057338
66.249.1.139,1661891656033,tablet,product_detail,video games,17647152,3057340,3057339
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057341,3057340
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057342,3057341
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057343,3057342
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057344,3057343
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057345,3057344
66.249.1.139,1661891656033,tablet,product_detail,AirPods,17647152,3057346,3057345
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057347,3057346
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057348,3057347
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057349,3057348
66.249.1.139,1661891656033,tablet,product_detail,cd players,17647152,3057350,3057349
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057351,3057350
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057352,3057351
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057353,3057352
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057354,3057353
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057355,3057354
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057356,3057355
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057357,3057356
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057358,3057357
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057359,3057358
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057360,3057359
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057361,3057360
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057362,3057361
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057363,3057362
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057364,3057363
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057365,3057364
66.249.1.139,1661891656033,tablet,product_detail,cameras,17647152,3057366,3057365
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057367,3057366
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057368,3057367
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057369,3057368
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057370,3057369
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057371,3057370
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057372,3057371
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057373,3057372
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057374,3057373
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057375,3057374
66.249.1.139,1661891656033,tablet,home_page,N/A,17647152,3057376,3057375
66.249.1.139,1661891656033,tablet,product_catalog,N/A,17647152,3057377,3057376
66.249.1.139,1661891656033,tablet,product_detail,laptops,17647152,3057378,3057377
66.249.1.139,1661891656033,tablet,add_to_cart,laptops,17647152,3057379,3057378
66.249.1.139,1661891656033,tablet,order,laptops,17647152,3057380,3057379
66.249.1.139,1661891656033,tablet,remove_from_cart,laptops,17647152,3057381,3057380
66.249.1.139,1661891656034,tablet,product_detail,AirPods,17647152,3057382,3057381
66.249.1.139,1661891656034,tablet,product_catalog,N/A,17647152,3057383,3057382
66.249.1.139,1661891656034,tablet,product_detail,ear phones,17647152,3057384,3057383
66.249.1.139,1661891656034,tablet,add_to_cart,ear phones,17647152,3057385,3057384
66.249.1.139,1661891656034,tablet,remove_from_cart,ear phones,17647152,3057386,3057385
66.249.1.139,1661891656034,tablet,product_catalog,N/A,17647152,3057387,3057386
66.249.1.139,1661891656034,tablet,home_page,N/A,17647152,3057388,3057387
66.249.1.139,1661891656034,tablet,product_catalog,N/A,17647152,3057389,3057388
66.249.1.139,1661891656034,tablet,home_page,N/A,17647152,3057390,3057389
66.249.1.139,1661891656034,tablet,product_catalog,N/A,17647152,3057391,3057390
66.249.1.139,1661891656034,tablet,home_page,N/A,17647152,3057392,3057391
66.249.1.139,1661891656034,tablet,product_catalog,N/A,17647152,3057393,3057392
66.249.1.139,1661891656034,tablet,product_detail,cd players,17647152,3057394,3057393
66.249.1.139,1661891656034,tablet,add_to_cart,cd players,17647152,3057395,3057394
66.249.1.139,1661891656034,tablet,product_catalog,N/A,17647152,3057396,3057395
66.249.1.139,1661891656034,tablet,product_detail,laptops,17647152,3057397,3057396
66.249.1.139,1661891656034,tablet,product_catalog,N/A,17647152,3057398,3057397
66.249.1.139,1661891656034,tablet,product_detail,laptops,17647152,3057399,3057398
66.249.1.139,1661891656034,tablet,product_catalog,N/A,17647152,3057400,3057399
66.249.1.139,1661891656034,tablet,product_detail,ear phones,17647152,3057401,3057400
66.249.1.139,1661891656034,tablet,add_to_cart,ear phones,17647152,3057402,3057401
66.249.1.139,1661891656034,tablet,remove_from_cart,ear phones,17647152,3057403,3057402
66.249.1.139,1661891656034,tablet,,,17647152,3057404,3057403
66.249.1.34,1661891656094,computer,home_page,N/A,17648473,3057405,3057404
66.249.1.34,1661891656094,computer,product_catalog,N/A,17648473,3057406,3057405
66.249.1.34,1661891656094,computer,home_page,N/A,17648473,3057407,3057406
66.249.1.34,1661891656094,computer,product_catalog,N/A,17648473,3057408,3057407
66.249.1.34,1661891656094,computer,home_page,N/A,17648473,3057409,3057408
66.249.1.34,1661891656094,computer,product_catalog,N/A,17648473,3057410,3057409
66.249.1.34,1661891656094,computer,product_detail,laptops,17648473,3057411,3057410
66.249.1.34,1661891656094,computer,product_catalog,N/A,17648473,3057412,3057411
66.249.1.34,1661891656094,computer,home_page,N/A,17648473,3057413,3057412
66.249.1.34,1661891656094,computer,product_catalog,N/A,17648473,3057414,3057413
66.249.1.34,1661891656094,computer,home_page,N/A,17648473,3057415,3057414
66.249.1.34,1661891656094,computer,product_catalog,N/A,17648473,3057416,3057415
66.249.1.34,1661891656094,computer,home_page,N/A,17648473,3057417,3057416
66.249.1.34,1661891656094,computer,product_catalog,N/A,17648473,3057418,3057417
66.249.1.34,1661891656095,computer,home_page,N/A,17648473,3057419,3057418
66.249.1.34,1661891656095,computer,product_catalog,N/A,17648473,3057420,3057419
66.249.1.34,1661891656095,computer,home_page,N/A,17648473,3057421,3057420
66.249.1.34,1661891656095,computer,product_catalog,N/A,17648473,3057422,3057421
66.249.1.34,1661891656095,computer,product_detail,video games,17648473,3057423,3057422
66.249.1.34,1661891656095,computer,product_catalog,N/A,17648473,3057424,3057423
66.249.1.34,1661891656095,computer,home_page,N/A,17648473,3057425,3057424
66.249.1.34,1661891656095,computer,product_catalog,N/A,17648473,3057426,3057425
66.249.1.34,1661891656095,computer,home_page,N/A,17648473,3057427,3057426
66.249.1.34,1661891656095,computer,product_catalog,N/A,17648473,3057428,3057427
66.249.1.34,1661891656095,computer,product_detail,soundbars,17648473,3057429,3057428
66.249.1.34,1661891656095,computer,add_to_cart,soundbars,17648473,3057430,3057429
66.249.1.34,1661891656095,computer,order,soundbars,17648473,3057431,3057430
