source,page_content
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html,"AWS

Documentation

AWS Well-Architected

AWS Well-Architected Framework

Introduction

Security Pillar - AWS Well-Architected Framework

PDF

RSS

Publication date: April 10, 2023 (Document revisions)

The focus of this paper is the security pillar of the AWS Well-Architected Framework. It provides guidance to help you apply best
    practices, current recommendations in the design, delivery, and maintenance of secure AWS
    workloads.

Introduction"
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html,"Introduction

The AWS Well-Architected
      Framework helps you understand trade-offs for decisions you make while building
      workloads on AWS. By using the Framework, you will learn current architectural best practices
      for designing and operating reliable, secure, efficient, cost-effective, and sustainable workloads in the
      cloud. It provides a way for you to consistently measure your workload against best practices
      and identify areas for improvement. We believe that having well-architected workloads greatly
      increases the likelihood of business success.

The framework is based on six pillars:

Operational Excellence

Security

Reliability

Performance Efficiency

Cost Optimization

Sustainability"
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html,"Sustainability

This paper focuses on the security pillar. This will help you meet your business and
      regulatory requirements by following current AWS recommendations. It’s intended for those in
      technology roles, such as chief technology officers (CTOs), chief information security officers
      (CSOs/CISOs), architects, developers, and operations team members.

After reading this paper, you will understand AWS current recommendations and strategies
      to use when designing cloud architectures with security in mind. This paper doesn’t provide
      implementation details or architectural patterns but does include references to appropriate
      resources for this information. By adopting the practices in this paper, you can build
      architectures that protect your data and systems, control access, and respond automatically to
      security events.

Javascript is disabled or is unavailable in your browser."
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html,"To use the Amazon Web Services Documentation, Javascript must be enabled. Please refer to your browser's Help pages for instructions.

Document Conventions

Security foundations

Did this page help you? - Yes

Thanks for letting us know we're doing a good job!

If you've got a moment, please tell us what we did right so we can do more of it.

Did this page help you? - No

Thanks for letting us know this page needs work. We're sorry we let you down.

If you've got a moment, please tell us how we can make the documentation better.

Yes

No

Provide feedback

Security foundations

Try AWS re:Post

Connect with an AWS IQ expert

Privacy

Site terms

Cookie preferences

© 2023, Amazon Web Services, Inc. or its affiliates. All rights reserved."
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/security.html,"AWS

Documentation

AWS Well-Architected

AWS Well-Architected Framework

Design principles

Definition

Security foundations

PDF

RSS

The security pillar describes how to take advantage of cloud technologies to protect data,
    systems, and assets in a way that can improve your security posture. This paper provides
    in-depth, best-practice guidance for architecting secure workloads on AWS.

Design principles

In the cloud, there are a number of principles that can help you strengthen your workload
      security:

Implement a strong identity foundation: Implement the
          principle of least privilege and enforce separation of duties with appropriate
          authorization for each interaction with your AWS resources. Centralize identity
          management, and aim to eliminate reliance on long-term static credentials."
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/security.html,"Maintain traceability: Monitor, alert, and audit
          actions and changes to your environment in real time. Integrate log and metric collection
          with systems to automatically investigate and take action.

Apply security at all layers: Apply a defense in
          depth approach with multiple security controls. Apply to all layers (for example, edge of
          network, VPC, load balancing, every instance and compute service, operating system,
          application, and code).

Automate security best practices: Automated
          software-based security mechanisms improve your ability to securely scale more rapidly and
          cost-effectively. Create secure architectures, including the implementation of controls
          that are defined and managed as code in version-controlled templates."
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/security.html,"Protect data in transit and at rest: Classify your
          data into sensitivity levels and use mechanisms, such as encryption, tokenization, and
          access control where appropriate.

Keep people away from data: Use mechanisms and tools
          to reduce or eliminate the need for direct access or manual processing of data. This
          reduces the risk of mishandling or modification and human error when handling sensitive
          data.

Prepare for security events: Prepare for an incident
          by having incident management and investigation policy and processes that align to your
          organizational requirements. Run incident response simulations and use tools with
          automation to increase your speed for detection, investigation, and recovery.

Definition

Security in the cloud is composed of seven areas:

Security foundations

Identity and access management

Detection

Infrastructure protection

Data protection

Incident response

Application security"
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/security.html,"Application security

Javascript is disabled or is unavailable in your browser.

To use the Amazon Web Services Documentation, Javascript must be enabled. Please refer to your browser's Help pages for instructions.

Document Conventions

Abstract and introduction

Shared responsibility

Did this page help you? - Yes

Thanks for letting us know we're doing a good job!

If you've got a moment, please tell us what we did right so we can do more of it.

Did this page help you? - No

Thanks for letting us know this page needs work. We're sorry we let you down.

If you've got a moment, please tell us how we can make the documentation better.

Yes

No

Provide feedback

Shared responsibility

Abstract and introduction

Try AWS re:Post

Connect with an AWS IQ expert

Privacy

Site terms

Cookie preferences

© 2023, Amazon Web Services, Inc. or its affiliates. All rights reserved."
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/shared-responsibility.html,"AWS

Documentation

AWS Well-Architected

AWS Well-Architected Framework

Shared responsibility

PDF

RSS"
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/shared-responsibility.html,"Security and Compliance is a shared responsibility between AWS and the customer. This
      shared model can help relieve the customer’s operational burden as AWS operates, manages, and
      controls the components from the host operating system and virtualization layer down to the
      physical security of the facilities in which the service operates. The customer assumes
      responsibility and management of the guest operating system (including updates and security
      patches), and other associated application software in addition to the configuration of the
      AWS provided security group firewall. Customers should carefully consider the services they
      choose as their responsibilities vary depending on the services used, the integration of those
      services into their IT environment, and applicable laws and regulations. The nature of this
      shared responsibility also provides the flexibility and customer control that permits the"
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/shared-responsibility.html,"deployment. As shown in the following chart, this differentiation of responsibility is
      commonly referred to as Security “of” the Cloud versus Security “in” the Cloud."
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/shared-responsibility.html,"AWS responsibility “Security of the Cloud” – AWS is
      responsible for protecting the infrastructure that runs all of the services offered in the AWS
      Cloud. This infrastructure is composed of the hardware, software, networking, and facilities
      that run AWS Cloud services."
https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/shared-responsibility.html,"Customer responsibility “Security in the Cloud” –
      Customer responsibility will be determined by the AWS Cloud services that a customer selects.
      This determines the amount of configuration work the customer must perform as part of their
      security responsibilities. For example, a service such as Amazon Elastic Compute Cloud (Amazon
      EC2) is categorized as Infrastructure as a Service (IaaS) and, as such, requires the customer
      to perform all of the necessary security configuration and management tasks. Customers that
      deploy an Amazon EC2 instance are responsible for management of the guest operating system
      (including updates and security patches), any application software or utilities installed by
      the customer on the instances, and the configuration of the AWS-provided firewall (called a
      security group) on each instance. For abstracted services, such as Amazon S3 and Amazon"
